iata,icao,name,country,latitude,longitude,historical_code
CGK,WIII,Soekarno-Hatta International Airport,Indonesia,-6.125567,106.655897,
SUB,WARR,Juanda International Airport,Indonesia,-7.379831,112.786858,
DPS,WADD,I Gusti Ngurah Rai International Airport,Indonesia,-8.748169,115.167172,
BPN,WALL,Sultan Aji Muhammad Sulaiman Sepinggan Airport,Indonesia,-1.268272,116.894478,
BDJ,WAOO,Syamsudin Noor International Airport,Indonesia,-3.442356,114.762553,
PKY,WAGG,Tjilik Riwut Airport,Indonesia,-2.225128,113.942661,
SOC,WAHQ,Adisoemarmo International Airport,Indonesia,-7.516089,110.756892,
UPG,WAAA,Sultan Hasanuddin International Airport,Indonesia,-5.061631,119.554042,
KNO,WIMM,Kualanamu International Airport,Indonesia,3.642222,98.885278,
PLM,WIPP,Sultan Mahmud Badaruddin II Airport,Indonesia,-2.898250,104.699903,
PDG,WIEE,Minangkabau International Airport,Indonesia,-0.786917,100.280556,
JOG,WAHH,Adisutjipto Airport,Indonesia,-7.788181,110.431758,
YIA,WAHI,Yogyakarta International Airport,Indonesia,-7.905338,110.057264,
SRG,WAHS,Jenderal Ahmad Yani Airport,Indonesia,-6.970732,110.373244,
MDC,WAMM,Sam Ratulangi International Airport,Indonesia,1.549447,124.925878,
AMQ,WAPP,Pattimura Airport,Indonesia,-3.710264,128.089136,
DJJ,WAJJ,Sentani International Airport,Indonesia,-2.576953,140.516372,
SOQ,WASS,Domine Eduard Osok Airport,Indonesia,-0.894000,131.287000,
TIM,WAYY,Mozes Kilangin Airport,Indonesia,-4.528278,136.887375,
BIK,WABB,Frans Kaisiepo Airport,Indonesia,-1.190017,136.107997,
TTE,WAEE,Sultan Babullah Airport,Indonesia,0.831414,127.381486,
LOP,WADL,Lombok International Airport,Indonesia,-8.757322,116.276675,
PNK,WIOO,Supadio International Airport,Indonesia,-0.150711,109.403892,
BWX,WADY,Banyuwangi International Airport,Indonesia,-8.310150,114.340100,
KDI,WAWW,Haluoleo Airport,Indonesia,-4.081608,122.418231,
GTO,WAMG,Jalaluddin Airport,Indonesia,0.637119,122.849858,
TRK,WAQQ,Juwata International Airport,Indonesia,3.326694,117.565569,
BTJ,WITT,Sultan Iskandar Muda International Airport,Indonesia,5.522872,95.420372,
SIN,WSSS,Singapore Changi Airport,Singapore,1.350189,103.994433,
KUL,WMKK,Kuala Lumpur International Airport,Malaysia,2.745578,101.709917,
JED,OEJN,King Abdulaziz International Airport,Saudi Arabia,21.679564,39.156536,
CAN,ZGGG,Guangzhou Baiyun International Airport,China,23.392436,113.298786,
PEK,ZBAA,Beijing Capital International Airport,China,40.080111,116.584556,
